name,deltaG,SMILES
pubchem_33,-10.44,CC(C)(C)c1ccc(OCC(=O)NCc2nncn2-c2ccccc2)cc1
pubchem_153,-10.44,CCCOc1ccccc1NC(=O)CSc1nnc(-c2ccccc2C)n1C
pubchem_275,-10.44,COc1ccccc1CNC(=O)c1nc(COc2ccc(NC(C)=O)cc2)no1
pubchem_356,-10.44,CN(C)c1ccc(CNC(=O)Cn2nnc(COc3ccccc3)n2)cc1
pubchem_617,-10.44,C=CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1cccc(C)c1
pubchem_993,-10.44,Cn1nc(C2CCNCC2)nc1NC(=O)CCN1C(=O)COc2ccccc21
pubchem_2016,-10.44,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccccc3C)n2C)cc1
pubchem_2028,-10.44,CCOc1ccccc1NC(=O)CSc1nnc(C)n1-c1ccc(C)cc1
pubchem_641,-10.43,COc1ccccc1NC(=O)CSc1nnc(CCC2CCCCC2)n1N
pubchem_857,-10.43,CCc1ccccc1NC(=O)CSc1nnc(COc2ccccc2)n1CC
pubchem_1703,-10.43,CCOc1ccccc1-c1nc(SCC(=O)N(CC)c2ccccc2)n[nH]1
pubchem_1734,-10.43,COc1ccc(C)cc1NC(=O)COc1ccc(-c2nnc3n2CCCC3)cc1
pubchem_52,-10.42,Cc1ccccc1OCc1nnc(SCC(=O)Nc2ccccc2)n1C
pubchem_88,-10.42,CCOc1ccccc1NC(=O)CSc1n[nH]c(CCC2CCCC2)n1
pubchem_833,-10.42,COc1ccc(NC(=O)c2nc(CCc3ccccc3)n(-c3ccccc3)n2)cc1
pubchem_848,-10.42,Cc1ccc(OCCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c(C)c1
pubchem_944,-10.42,Cc1cccc(OCCCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_2015,-10.42,CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1ccccc1C
pubchem_101,-10.41,Cc1cc(C)cc(OCCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_362,-10.41,CCOc1ccc(-n2nnnc2CNC(=O)COc2ccccc2C)cc1
pubchem_592,-10.41,CCOc1ccccc1NCc1nc(-c2cccc([N+](=O)[O-])c2)no1
pubchem_640,-10.41,CCCN(CC(=O)Nc1ccccc1OC)Cc1nc(-c2cccc(C)c2)no1
pubchem_643,-10.41,COc1ccccc1N1CCN(C(=O)c2nc(C)n(-c3ccccc3C)n2)CC1
pubchem_677,-10.41,CCn1c(COc2ccc(C)cc2)nnc1SCC(=O)Nc1ccccc1C
pubchem_1177,-10.41,Cc1ccc2c(c1)OCCN2C(=O)c1nc(C(C)C)n(-c2cccc(F)c2)n1
pubchem_277,-10.4,CCOc1ccccc1N1CCN(Cc2nc(-c3ccc(C)cc3)no2)CC1
pubchem_580,-10.4,CCn1c(CCc2ccccc2)nnc1SCC(=O)Nc1ccccc1OC
